timestamp,file,parameter,update
2025-07-15T17:21:30.354027,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,Added ﻿﻿﻿分类_en: 'Sensor - Negative Pressure Sensor'
2025-07-15T17:21:30.354030,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,Added 功能_en: 'Negative pressure detection-'
2025-07-15T17:21:30.354032,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,"Added 功能说明_en: 'Function description: https://gaussian.yuque.com/od6ghz/no74yv/gu3wn0?singleDoc# ""Negative Pressure Sensor (40/50)""'"
2025-07-15T17:21:30.354032,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,Added 参数名称_en: 'Negative pressure: fan duty cycle'
2025-07-15T17:21:30.354033,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,Added 参数释义_en: 'Negative pressure: fan duty cycle'
2025-07-15T17:21:30.354034,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,Added 参数类型_en: 'string'
2025-07-15T17:21:30.354035,40_A4_10_en.csv,/device/scrubber/suction_pressure_limit_level_setting,"Added 默认
值_en: '""40,50,60,70,80,90,100""'"
2025-07-15T17:21:30.354037,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,﻿﻿﻿分类_en: 'None' -> 'Pot/charge/add drainage'
2025-07-15T17:21:30.354038,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,功能_en: 'None' -> 'lora appointment function'
2025-07-15T17:21:30.354039,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,参数名称_en: 'None' -> 'lora signal coverage'
2025-07-15T17:21:30.354040,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,参数释义_en: 'None' -> 'Make an appointment only if the pile navigation is smaller than the configuration'
2025-07-15T17:21:30.354041,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,参数类型_en: 'None' -> 'double'
2025-07-15T17:21:30.354041,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,"Added 下
限_en: '1.0'"
2025-07-15T17:21:30.354042,40_A4_10_en.csv,/strategy/gs_work_station/lora_connect_range,"Added 上
限_en: '10000.0'"
