APP,app界面lora定制,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/hm7db9,/strategy/console/hide_product_information,不用了,,bool,,,FALSE,,,,,,,,,,,
APP,APP语言设置,,/strategy/console/app_language,APP语言配置,,string,,,"""en""",,,,,,,,,,,
APP,多次输错密码锁屏,,/strategy/console/login_fail_lock_time,登录密码输入错误锁屏时间,,double,1,30,30,,,,,,,,,,,
APP,屏蔽不影响任务的告警,参数打开后：机器人端与掌上高仙 就看不到不影响任务的告警了；,/strategy/checker/less_warning,屏蔽不影响任务的告警；（机器人端与掌上高仙）,打开：会在机器端和掌上高仙屏蔽掉不影响任务的告警，只在云平台显示,bool,,,TRUE,,,,,,,,,,,
APP,隐藏排班任务功能开关,,/strategy/rcc/hide_timer_schedule_task,掌上高仙隐藏排班任务功能开关,改成false 就无法创建 定时任务（定时几点开始，几点结束的），创建任务时不显示定时任务类型；,bool,,,TRUE,,,,,,,,,,,
DL-感知,,,/strategy/laser_stain/init,开大小物体语义检测功能,,bool,,,TRUE,,,,,,,,,,,
DL-感知,地面分割-扶梯踏板检测功能,,/dirty_config/other/escalator_pedal,地面分割-扶梯踏板检测功能,1:打开；2:关闭,int,1,2,1,,,,,,,,,,,
DL-感知,红外贴纸识别,,/strategy/ir_sticker_enable,红外贴纸检测功能开关,,bool,,,TRUE,,,,,,,,,,,
DL-感知,红外贴纸识别（七点）,,/strategy/hexagon_sticker_detect_enable,七点红外贴纸识别开关,,bool,,,TRUE,,,,,,,,,,,
DL-感知,红外贴纸识别（四点）,,/strategy/four_point_sticker_detect_enable,四点红色贴纸识别开关,,bool,,,TRUE,,,,,,,,,,,
DL-感知,可通行边缘-跌落区检测功能,,/dirty_config/other/fallarea_edge,可通行边缘-跌落区检测功能,1:打开；2:关闭,int,1,2,1,,,,,,,,,,,
DL-感知,可通行边缘-扶梯金属边检测功能,,/dirty_config/other/escalator_edge,可通行边缘-扶梯金属边检测功能,1:打开；2:关闭,int,1,2,1,,APP,app界面lora定制,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/hm7db9,/strategy/console/hide_product_information,不用了,,bool,,,FALSE
DL-感知,模型开关,,/strategy/dl_infer/open_freespace_endpoint,可通行区域模型,,bool,,,TRUE,,APP,APP语言设置,,/strategy/console/app_language,APP语言配置,,string,,,"""en"""
DL-感知,模型开关,,/strategy/dl_infer/open_ground_objects_seg,地面物体模型,,bool,,,TRUE,,APP,多次输错密码锁屏,,/strategy/console/login_fail_lock_time,登录密码输入错误锁屏时间,,double,1,30,30
DL-感知,模型开关,,/strategy/dl_infer/open_xyf_detect,xfy模型,,bool,,,TRUE,,APP,屏蔽不影响任务的告警,参数打开后：机器人端与掌上高仙 就看不到不影响任务的告警了；,/strategy/checker/less_warning,屏蔽不影响任务的告警；（机器人端与掌上高仙）,打开：会在机器端和掌上高仙屏蔽掉不影响任务的告警，只在云平台显示,bool,,,TRUE
DL-感知,倾斜检测（IMU）,,/strategy/camera_subscribe_imu,NUll,,bool,,,TRUE,,APP,隐藏排班任务功能开关,,/strategy/rcc/hide_timer_schedule_task,掌上高仙隐藏排班任务功能开关,改成false 就无法创建 定时任务（定时几点开始，几点结束的），创建任务时不显示定时任务类型；,bool,,,TRUE
DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable,NUll,,bool,,,TRUE,,DL-感知,,,/strategy/laser_stain/init,开大小物体语义检测功能,,bool,,,TRUE
DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_freespace_endpoint,NUll,,bool,,,TRUE,,DL-感知,地面分割-扶梯踏板检测功能,,/dirty_config/other/escalator_pedal,地面分割-扶梯踏板检测功能,1:打开；2:关闭,int,1,2,1
DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_ground_objects_seg,NUll,,bool,,,FALSE,,DL-感知,红外贴纸识别,,/strategy/ir_sticker_enable,红外贴纸检测功能开关,,bool,,,TRUE
DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/dl_infer/data_feedback/enable_xyf_detect,NUll,,bool,,,TRUE,,DL-感知,红外贴纸识别（七点）,,/strategy/hexagon_sticker_detect_enable,七点红外贴纸识别开关,,bool,,,TRUE
DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5,/strategy/gs_data_feedback/dl_hodgepodge/enable,NUll,,bool,,,TRUE,,DL-感知,红外贴纸识别（四点）,,/strategy/four_point_sticker_detect_enable,四点红色贴纸识别开关,,bool,,,TRUE
